Participant,Duration (in seconds),Recorded Date,Response ID,PuPSafeword,PuPNegotiation,PuPLeadNegotiation,PuPBottomAdd,PuPBottomRemove,PuPTopAdd,PuPTopRemove,PuPjump,PuPnonverbal,PuPsafewordNotDiscussed,PuPtopDrugs,PuPbottomDrugs,PuPsatisfaction,PuPengage,RRSafeword,RRNegotiation,RRLeadNegotiation,RRBottomAdd,RRBottomRemove,RRTopAdd,RRTopRemove,RRjump,RRnonverbal,RRsafewordNotDiscussed,RRtopDrugs,RRbottomDrugs,RRsatisfaction,RRengage,ExpNegKinkVan,ExpNegRisk,IntoxicatedBDSMnew,IntoxicatedBDSMexist,IntoxicatedVanNew,IntoxicatedVanExist,SafewordNew,SafewordExist,ViolateLimitBDSM,SafewordIgnored,ViolateBoundaryVanilla,Gender,Male,Female,Nonbinary,Transwoman,Transman,Gendernonconforming,Genderfluid,Genderqueer,TwoSpirit,Intersex,Agender,OtherGender,SexualOrientation,Pansexual,Heterosexual,Queer,Gay,Homoflexible,Heteroflexible,Bisexual,Asexual,Aromantic,Greysexual,Demisexual,OtherSO,Race,RaceCode,NativeAmerican,Asian,Black,Hispanic,MiddleEastern,PacificIslander,White,OtherRace,USorNot,Age,FirstKinkAge,Roles,Top,Bottom,Switch,Sadist,Masochist,Master,Slave,Dominant,Submissive,NonMonogamy,Relationship,Single,PlayPartner,Dating,Engaged,Married,LivingTogether,OtherRelationship,CNC,ConsentEd,ConsentEdRecoded,ConsentCode,SchoolConsentEd,KinkConsentEd,OtherConsentEd,InformalConsentEd,UnsureConsentEd,NoConsentEd
39,72610,4/20/2020 9:06,R_25MyijuCHqnJ7M4,5,4,5,3,7,2,7,1,1,1,2,1,4,1,4,4,4,5,7,3,7,5,5,3,2,2,4,1,6,7,1,2,2,3,5,5,3,2,1,"3,4,7,8",,,1,1,,,1,1,,,,,3,,,1,,,,,,,,,,7,7,,,,,,,1,,1,26,18,3,,,1,,,,,,,1,"2,3,6",,1,1,,,1,,1,"1,2,4","1,2,4",2,1,1,,1,,
40,923,4/20/2020 10:43,R_1MW1xU31MZvg8RH,5,4,5,6,6,6,6,2,5,3,2,2,4,1,4,3,4,6,6,6,6,6,5,6,5,5,4,1,6,6,1,2,2,4,5,5,1,2,2,2,,1,,,,,,,,,,,7,,,,,,,1,,,,,,7,7,,,,,,,1,,1,44,36,"2,9",,1,,,,,,,1,1,6,,,,,,1,,1,2,2,2,,1,,,,
41,2149,4/20/2020 13:00,R_1rcYgURrrW2vyXb,5,5,6,6,7,6,7,4,5,1,1,1,4,1,5,4,4,7,7,6,7,7,7,2,6,6,4,1,6,7,2,3,2,3,4,5,2,2,2,1,1,,,,,,,,,,,,6,,,,,,1,,,,,,,"4,7","4,7",,,,1,,,1,,1,32,25,1,1,,,,,,,,,2,6,,,,,,1,,1,"1,3,4","1,3,4",0,1,,1,1,,
43,1552,4/20/2020 17:25,R_2Ug7bar1i00XOWy,5,5,4,3,7,2,7,2,2,1,1,1,4,1,5,4,4,6,7,5,7,6,5,3,2,4,4,1,5,6,1,2,1,2,5,5,2,2,1,2,,1,,,,,,,,,,,3,,,1,,,,,,,,,,7,7,,,,,,,1,,1,23,22,"3,4,5",,,1,1,1,,,,,1,"2,3",,1,1,,,,,3,2,2,2,,1,,,,
44,834,4/20/2020 22:29,R_2sXUwykzv7eeyFz,2,3,4,7,6,6,6,5,5,4,2,2,6,1,3,2,4,7,7,7,7,7,5,6,6,6,4,1,6,7,2,3,2,3,3,2,2,2,2,1,1,,,,,,,,,,,,4,,,,1,,,,,,,,,7,7,,,,,,,1,,1,50,22,"2,9",,1,,,,,,,1,1,1,1,,,,,,,3,4,4,0,,,,1,,
46,2709,4/21/2020 11:38,R_tYZ5z071xCdk90t,5,5,4,1,7,1,7,1,1,1,1,1,4,2,4,4,4,4,7,3,7,4,3,1,2,2,4,1,5,6,1,1,1,2,5,5,1,3,1,4,,,,1,,,,,,,,,"1,3,11",1,,1,,,,,,,,1,,,,,,,,,,,,1,27,19,"3,4,5",,,1,1,1,,,,,1,"2,3,6",,1,1,,,1,,3,2,2,2,,1,,,,
48,808,4/21/2020 12:11,R_cP8zOXnRfWZDRJv,5,4,4,3,5,7,7,3,3,7,6,6,4,2,3,2,5,5,1,7,7,3,5,7,6,6,4,1,4,4,1,4,2,4,5,3,1,,,2,,1,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,19,12,"2,5,7,9",,1,,,1,,1,,1,2,"4,6",,,,1,,1,,1,4,4,0,,,,1,,
49,944,4/21/2020 13:11,R_3D5BvW5S4zsjLQ2,5,5,4,8,7,7,7,3,2,1,2,2,4,1,5,5,4,7,7,7,7,2,2,1,2,2,4,1,4,6,2,3,2,3,5,5,1,2,2,"2,6",,1,,,,1,,,,,,,1,1,,,,,,,,,,,,2,2,,1,,,,,,,0,24,,"1,2,3,4,5,8,9",1,1,1,1,1,,,1,1,1,2,,1,,,,,,1,4,4,0,,,,1,,
50,601,4/21/2020 13:42,R_2tKxvkzsaf6qqUn,4,4,4,6,6,6,6,3,5,3,1,1,4,1,2,3,4,7,7,7,7,6,7,6,1,1,4,1,5,7,1,1,1,1,4,3,1,2,1,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,7,7,,,,,,,1,,0,33,23,9,,,,,,,,,1,1,2,,1,,,,,,1,4,4,0,,,,1,,
51,660,4/21/2020 14:03,R_1jOMpCcVVtppBxV,5,5,4,1,6,1,6,1,1,1,1,1,4,2,5,5,4,2,6,2,6,1,3,1,1,1,4,1,4,4,1,1,1,1,5,5,1,2,1,2,,1,,,,,,,,,,,6,,,,,,1,,,,,,,7,7,,,,,,,1,,1,51,45,"5,9",,,,,1,,,,1,2,3,,,1,,,,,2,4,4,0,,,,1,,
52,719,4/21/2020 14:35,R_3mlAUvysSXqfDp3,2,1,4,4,4,4,4,7,6,7,4,4,6,1,1,3,4,6,6,6,6,3,7,7,4,4,6,2,7,7,2,2,3,3,2,2,1,1,2,1,1,,,,,,,,,,,,4,,,,1,,,,,,,,,7,7,,,,,,,1,,0,55,19,"2,3,5,7,9",,1,1,,1,,1,,1,1,5,,,,,1,,,3,5,5,0,,,,,1,
53,591,4/21/2020 15:15,R_tXKv59EwMnFx6ff,5,5,4,6,7,6,7,1,1,1,1,1,4,2,5,4,4,6,7,6,7,6,6,6,6,6,4,1,6,7,2,3,3,4,5,5,2,2,1,2,,1,,,,,,,,,,,7,,,,,,,1,,,,,,7,7,,,,,,,1,,0,41,34,"5,9",,,,,1,,,,1,1,5,,,,,1,,,3,2,2,2,,1,,,,
54,572,4/21/2020 15:50,R_1F5kZgBqN3T7JLO,5,5,4,6,7,6,7,2,2,2,4,4,3,2,2,4,6,7,7,7,7,6,3,4,6,6,2,1,4,7,2,3,2,3,5,2,1,1,1,"2,3,6,8,11",,1,1,,,1,,1,,,1,,"4,5",,,,1,1,,,,,,,,"4,7","4,7",,,,1,,,1,,0,27,14,"1,4,8",1,,,1,,,,1,,2,4,,,,1,,,,2,4,4,0,,,,1,,
55,2194,4/21/2020 17:25,R_2xKRRHvzekZHVYl,5,5,4,1,7,1,7,1,2,1,1,1,4,2,5,3,4,2,7,2,7,6,6,4,1,1,4,1,4,7,1,1,1,1,5,5,3,2,3,"1,5,12",1,,,,1,,,,,,,1,"1,3,11",1,,1,,,,,,,,1,,7,7,,,,,,,1,,0,39,9,"1,3,4,6,8",1,,1,1,,1,,1,,1,4,,,,1,,,,3,2,2,2,,1,,,,
56,1456,4/21/2020 17:47,R_2VQmKeykStm8RPO,5,5,4,1,7,3,7,2,1,1,1,1,4,1,4,3,4,2,7,4,7,3,2,1,5,5,4,1,4,4,1,2,2,3,5,4,,3,1,"2,12",,1,,,,,,,,,,1,1,1,,,,,,,,,,,,7,7,,,,,,,1,,1,31,20,"3,4,9",,,1,1,,,,,1,1,"3,6",,,1,,,1,,2,"2,4","2,4",2,,1,,1,,
57,1340,4/21/2020 18:13,R_VVfZjNbx0OZIDK1,5,5,4,8,7,7,7,1,7,1,1,1,4,2,5,5,4,6,7,6,7,2,7,1,2,2,4,1,4,4,1,1,1,1,1,3,1,2,2,"1,5",1,,,,1,,,,,,,,1,1,,,,,,,,,,,,4,4,,,,1,,,,,1,24,,"3,4,5",,,1,1,1,,,,,3,1,1,,,,,,,3,2,2,2,,1,,,,
58,1058,4/21/2020 18:41,R_TaMaXufMCIYrHR7,5,5,4,3,7,5,7,5,1,1,2,2,4,2,3,4,4,6,7,5,7,3,6,6,5,5,4,1,5,7,2,3,2,3,5,5,2,2,2,2,,1,,,,,,,,,,,"1,7",1,,,,,,1,,,,,,7,7,,,,,,,1,,1,24,17,"3,5",,,1,,1,,,,,2,5,,,,,1,,,1,3,4,0,,,1,,,
