Participant,Duration (in seconds),Recorded Date,Response ID,PuPSafeword,PuPNegotiation,PuPLeadNegotiation,PuPBottomAdd,PuPBottomRemove,PuPTopAdd,PuPTopRemove,PuPjump,PuPnonverbal,PuPsafewordNotDiscussed,PuPtopDrugs,PuPbottomDrugs,PuPsatisfaction,PuPengage,RRSafeword,RRNegotiation,RRLeadNegotiation,RRBottomAdd,RRBottomRemove,RRTopAdd,RRTopRemove,RRjump,RRnonverbal,RRsafewordNotDiscussed,RRtopDrugs,RRbottomDrugs,RRsatisfaction,RRengage,ExpNegKinkVan,ExpNegRisk,IntoxicatedBDSMnew,IntoxicatedBDSMexist,IntoxicatedVanNew,IntoxicatedVanExist,SafewordNew,SafewordExist,ViolateLimitBDSM,SafewordIgnored,ViolateBoundaryVanilla,Gender,Male,Female,Nonbinary,Transwoman,Transman,Gendernonconforming,Genderfluid,Genderqueer,TwoSpirit,Intersex,Agender,OtherGender,SexualOrientation,Pansexual,Heterosexual,Queer,Gay,Homoflexible,Heteroflexible,Bisexual,Asexual,Aromantic,Greysexual,Demisexual,OtherSO,Race,RaceCode,NativeAmerican,Asian,Black,Hispanic,MiddleEastern,PacificIslander,White,OtherRace,USorNot,Age,FirstKinkAge,Roles,Top,Bottom,Switch,Sadist,Masochist,Master,Slave,Dominant,Submissive,NonMonogamy,Relationship,Single,PlayPartner,Dating,Engaged,Married,LivingTogether,OtherRelationship,CNC,ConsentEd,ConsentEdRecoded,ConsentCode,SchoolConsentEd,KinkConsentEd,OtherConsentEd,InformalConsentEd,UnsureConsentEd,NoConsentEd
59,312,4/21/2020 19:41,R_UmCryehMEXqNnCF,5,5,4,2,2,2,2,1,2,1,1,1,4,1,3,5,4,5,5,2,5,2,5,1,5,5,4,1,7,6,1,4,2,5,5,5,1,2,2,2,,1,,,,,,,,,,,7,,,,,,,1,,,,,,7,7,,,,,,,1,,1,18,17,9,,,,,,,,,1,2,"3,6",,,1,,,1,,1,1,1,0,1,,,,,
60,447,4/21/2020 23:49,R_dhTryU67CX9M86J,5,5,4,5,6,2,6,1,1,1,2,2,4,1,4,4,4,6,6,3,6,3,5,1,2,2,4,1,6,7,2,2,2,2,5,5,1,2,1,2,,1,,,,,,,,,,,"1,3",1,,1,,,,,,,,,,7,7,,,,,,,1,,0,42,25,"1,2,4,5,8",1,1,,1,1,,,1,,1,"2,3,6",,1,1,,,1,,2,"2,4","2,4",2,,1,,1,,
61,1585,4/22/2020 5:18,R_2amIMEkL6BUqWLM,5,3,6,5,6,3,6,2,7,1,1,1,4,1,4,4,5,6,6,2,6,4,6,2,1,1,4,1,6,6,1,1,2,2,5,5,2,2,2,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,50,40,"1,8",1,,,,,,,1,,1,2,,1,,,,,,2,2,2,2,,1,,,,
62,374,4/22/2020 7:13,R_1IcQ1Z1UyTxgdzU,5,5,4,7,7,3,7,4,1,1,5,2,5,1,2,3,4,7,7,2,7,6,4,4,5,4,5,1,4,7,2,3,3,4,2,2,2,2,2,6,,,,,,1,,,,,,,7,,,,,,,1,,,,,,7,7,,,,,,,1,,1,52,18,"2,3,7,9",,1,1,,,,1,,1,2,5,,,,,1,,,2,4,4,0,,,,1,,
63,947,4/22/2020 9:59,R_6rQhz5A4S7x7cEp,4,4,5,6,7,6,7,1,7,6,1,5,4,2,3,4,6,6,7,5,5,2,7,4,2,5,4,1,7,7,2,3,1,2,1,1,2,,,"1,3,6",1,,1,,,1,,,,,,,"8,11",,,,,,,,1,,,1,,7,7,,,,,,,1,,1,40,29,9,,,,,,,,,1,2,1,1,,,,,,,2,6,6,0,,,,,,1
64,1189,4/22/2020 10:24,R_rjt7BWEwk7gq1gZ,5,4,4,5,6,5,6,2,5,1,1,1,4,1,4,3,4,5,6,5,6,6,6,5,2,2,4,1,6,7,1,2,1,3,4,5,2,2,1,1,1,,,,,,,,,,,,6,,,,,,1,,,,,,,7,7,,,,,,,1,,1,46,20,"3,9",,,1,,,,,,1,3,5,,,,,1,,,1,"2,4","2,4",2,,1,,1,,
65,496,4/22/2020 15:00,R_1FyyBBkBNFREHsb,5,5,4,8,7,7,7,1,5,5,1,1,4,2,5,5,4,7,7,7,7,5,5,7,7,1,4,1,4,4,2,2,2,2,5,5,2,2,2,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,40,22,"2,5,7,9",,1,,,1,,1,,1,1,"1,3",1,,1,,,,,3,4,4,0,,,,1,,
66,1050,4/22/2020 16:56,R_2q3fOXyCrNYu6G7,5,5,4,4,6,6,4,2,1,2,1,1,4,1,5,3,4,4,6,5,5,4,4,5,1,1,4,1,4,4,1,1,1,1,5,4,2,,,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,"1,7","1,7",1,,,,,,1,,1,46,22,"1,4,6,8",1,,,1,,1,,1,,1,"1,2,3",1,1,1,,,,,1,"2,3,4","2,3,4",2,,1,1,1,,
67,571,4/22/2020 17:48,R_By2y5hfXjplGIUh,5,5,4,3,7,2,7,2,3,1,1,1,4,2,2,4,4,4,4,4,4,3,3,3,5,5,4,2,5,7,1,2,2,3,1,1,,,2,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,37,19,2,,1,,,,,,,,3,6,,,,,,1,,2,4,4,0,,,,1,,
68,1352,4/24/2020 0:01,R_OKmZLCqeUtyYSB3,5,5,5,6,6,1,1,2,1,1,1,1,4,1,5,5,5,6,6,2,2,2,1,2,1,1,4,1,4,4,1,1,1,1,5,5,2,2,1,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,0,49,20,"1,4,8",1,,,1,,,,1,,1,3,,,1,,,,,1,2,2,2,,1,,,,
69,2105,4/24/2020 11:11,R_Zrj9JP01o4TpdU5,3,3,4,7,7,6,7,4,4,4,6,6,4,1,5,4,4,6,7,6,7,6,7,5,7,7,4,1,7,7,3,4,3,4,4,5,1,3,1,"1,5",1,,,,1,,,,,,,,"3,4,5,7,11",,,1,1,1,,1,,,,1,,7,7,,,,,,,1,,1,30,14,"1,3,4,6,8",1,,1,1,,1,,1,,1,"1,2,3,5",1,1,1,,1,,,1,"2,4","2,4",2,,1,,1,,
70,695,4/24/2020 11:11,R_XqgOrO8X5yuiBt7,5,5,4,2,7,1,7,2,5,1,2,2,4,1,4,5,4,2,7,2,7,5,6,2,2,2,4,1,6,6,1,1,1,1,5,5,1,1,1,2,,1,,,,,,,,,,,4,,,,1,,,,,,,,,7,7,,,,,,,1,,1,58,23,"1,4,6,8",1,,,1,,1,,1,,1,6,,,,,,1,,1,2,2,2,,1,,,,
71,1064,4/24/2020 11:11,R_11i4eMV5AhON8TU,5,5,4,2,6,2,6,2,1,1,1,1,4,1,5,5,4,2,6,2,6,5,3,1,1,1,4,1,5,4,1,1,1,1,5,5,1,1,1,2,,1,,,,,,,,,,,1,1,,,,,,,,,,,,7,7,,,,,,,1,,0,37,18,"3,4",,,1,1,,,,,,1,5,,,,,1,,,1,2,2,2,,1,,,,
72,513,4/24/2020 11:11,R_3kOiY8yU2ig1tvO,4,5,4,3,6,6,6,1,2,1,3,2,4,1,2,4,4,3,6,3,6,3,2,5,3,3,4,1,4,5,2,2,2,2,5,3,2,2,2,1,1,,,,,,,,,,,,4,,,,1,,,,,,,,,7,7,,,,,,,1,,1,68,59,"2,7",,1,,,,,1,,,1,"5,7",,,,,1,,1,1,2,2,2,,1,,,,
73,1094,4/24/2020 11:11,R_bdBnJHr4Ue67hEl,5,4,5,7,7,6,6,1,1,3,1,1,4,2,5,4,4,7,7,7,7,5,5,5,1,1,4,1,7,7,1,1,1,1,5,5,2,2,2,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,57,19,"1,4,8",1,,,1,,,,1,,2,5,,,,,1,,,1,2,2,2,,1,,,,
75,1036,4/24/2020 11:11,R_33ycwPvJIAm5SFV,5,5,4,6,7,6,7,3,4,5,4,4,4,1,5,5,4,4,7,4,7,1,7,2,4,4,4,1,4,7,2,2,2,2,4,5,3,2,1,2,,1,,,,,,,,,,,"1,11",1,,,,,,,,,,1,,7,7,,,,,,,1,,1,39,22,"3,4,8",,,1,1,,,,1,,1,4,,,,1,,,,1,4,4,0,,,,1,,
76,569,4/24/2020 11:11,R_1fa2GwItH85TDl8,5,4,4,7,4,5,5,2,7,3,1,1,4,1,5,5,4,6,6,6,6,4,7,3,1,1,4,1,4,6,2,2,2,2,4,4,1,1,1,3,,,1,,,,,,,,,,1,1,,,,,,,,,,,,7,7,,,,,,,1,,0,36,21,"3,4,8",,,1,1,,,,1,,1,4,,,,1,,,,1,1,1,0,1,,,,,
77,1100,4/24/2020 11:11,R_2aaVhva83VRuuWT,5,4,4,6,7,3,7,1,2,1,1,1,4,2,5,3,4,7,7,7,7,6,6,5,4,4,4,1,6,7,1,2,1,2,5,5,1,1,1,2,,1,,,,,,,,,,,7,,,,,,,1,,,,,,7,7,,,,,,,1,,1,48,19,"2,3,4,5,8",,1,1,1,1,,,1,,1,"1,2,3,7",1,1,1,,,,1,2,4,4,0,,,,1,,
78,2376,4/24/2020 11:11,R_3PZD0HnNiRVSJtk,5,5,4,1,7,1,7,2,1,1,1,1,4,2,5,4,4,4,7,4,7,5,5,1,2,2,4,1,7,7,1,2,1,2,5,5,1,2,1,12,,,,,,,,,,,,1,"7,11",,,,,,,1,,,,1,,7,7,,,,,,,1,,1,31,18,"1,2,3,4,5,7,8,9",1,1,1,1,1,,1,1,1,1,"2,3",,1,1,,,,,3,"1,2","1,2",2,1,1,,,,
79,398,4/24/2020 11:11,R_2uCXiS2CoMgF1an,5,5,4,2,7,2,7,1,5,4,3,1,4,2,4,4,4,5,7,2,6,6,6,3,3,1,4,1,6,7,2,2,2,3,5,4,3,2,3,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,2,2,,1,,,,,,,1,39,23,"1,2,3,9",1,1,1,,,,,,1,2,6,,,,,,1,,3,4,4,0,,,,1,,
80,602,4/24/2020 11:11,R_2tJuz2McFyjGRyC,5,5,4,5,7,5,7,1,2,5,1,1,4,1,4,2,4,6,7,6,7,7,6,7,2,2,4,1,6,6,2,2,2,2,5,5,1,1,1,3,,,1,,,,,,,,,,"7,11",,,,,,,1,,,,1,,7,7,,,,,,,1,,0,36,19,"2,5,7,9",,1,,,1,,1,,1,1,4,,,,1,,,,1,2,2,2,,1,,,,
81,952,4/24/2020 11:11,R_3gTopibNgcYtTiv,5,5,4,6,6,6,6,1,5,5,2,1,4,1,5,2,4,4,4,4,4,4,4,4,4,5,4,1,4,4,2,3,1,3,5,5,2,2,2,2,,1,,,,,,,,,,,"3,4,5",,,1,1,1,,,,,,,,3,3,,,1,,,,,,1,29,18,"1,4,8",1,,,1,,,,1,,1,1,1,,,,,,,2,"1,2","1,2",2,1,1,,,,
82,766,4/24/2020 11:11,R_3iqbTXCapj2Lx2i,5,5,4,8,7,7,7,1,1,1,1,1,4,2,3,4,4,7,7,7,7,6,7,1,6,6,4,1,4,7,1,2,1,2,5,5,1,1,1,2,,1,,,,,,,,,,,"3,7",,,1,,,,1,,,,,,7,7,,,,,,,1,,1,23,20,"5,9",,,,,1,,,,1,2,"4,6",,,,1,,1,,1,1,1,0,1,,,,,
83,686,4/24/2020 11:11,R_RXM6PwIkBrGUfuN,5,5,4,2,7,1,7,2,1,1,1,1,4,1,4,4,4,5,7,3,5,5,5,5,2,2,4,1,4,6,1,2,2,2,5,5,2,2,3,3,,,1,,,,,,,,,,"1,3,7,11",1,,1,,,,1,,,,1,,7,7,,,,,,,1,,1,29,20,3,,,1,,,,,,,2,1,1,,,,,,,3,"2,4","2,4",2,,1,,1,,
84,451,4/24/2020 11:11,R_3nGGI8uItIyoqw8,5,5,4,1,7,1,7,2,2,1,2,2,4,2,5,4,4,5,7,5,7,7,6,6,6,6,4,1,6,7,2,2,2,2,5,5,2,2,3,2,,1,,,,,,,,,,,1,1,,,,,,,,,,,,7,7,,,,,,,1,,1,32,27,"2,7",,1,,,,,1,,,1,6,,,,,,1,,1,2,2,2,,1,,,,
85,529,4/24/2020 11:11,R_3dMtAZwEfLT24KT,3,4,3,6,7,5,7,2,3,2,3,2,4,1,2,2,4,7,7,7,7,6,4,5,3,2,4,1,6,7,2,2,2,3,2,2,2,2,1,"2,3,5",,1,1,,1,,,,,,,,"7,8",,,,,,,1,1,,,,,"2,7","2,7",,1,,,,,1,,1,24,18,"2,5,9",,1,,,1,,,,1,1,"5,7",,,,,1,,1,3,4,4,0,,,,1,,
86,516,4/24/2020 11:11,R_271EeJ7GufHrSbs,3,3,4,6,7,6,7,6,6,3,2,2,4,1,4,5,5,6,7,6,7,7,6,2,3,3,4,1,6,7,2,2,2,2,3,5,2,2,1,"1,3,5,8",1,,1,,1,,,1,,,,,"3,7",,,1,,,,1,,,,,,7,7,,,,,,,1,,1,18,18,"2,5,9",,1,,,1,,,,1,1,"3,4,6",,,1,1,,1,,3,5,5,0,,,,,1,
87,1359,4/24/2020 11:11,R_2Toy0rmG4VEEaXF,5,5,4,8,7,7,7,1,2,6,1,1,4,1,4,4,4,7,7,7,7,6,7,7,1,1,4,1,7,7,1,1,1,1,5,5,1,1,3,1,1,,,,,,,,,,,,4,,,,1,,,,,,,,,7,7,,,,,,,1,,1,51,20,"2,9",,1,,,,,,,1,1,7,,,,,,,1,2,2,2,2,,1,,,,
88,747,4/24/2020 11:11,R_10NoPVG6twcEQKM,5,3,5,6,6,6,6,6,5,6,6,6,4,1,5,3,4,6,6,6,6,7,7,6,6,6,4,1,6,6,2,3,2,3,5,5,1,1,1,2,,1,,,,,,,,,,,7,,,,,,,1,,,,,,7,7,,,,,,,1,,1,39,19,"2,9",,1,,,,,,,1,1,"2,3,5",,1,1,,1,,,1,"2,4","2,4",2,,1,,1,,
89,872,4/24/2020 11:11,R_VU7W55yTDnF5nKF,5,5,2,6,7,6,6,1,2,1,1,1,4,2,5,5,3,6,7,6,6,1,6,1,1,1,4,1,7,7,1,2,1,2,5,5,2,2,2,2,,1,,,,,,,,,,,2,,1,,,,,,,,,,,8,"1,7",,,,,,,,1,1,43,38,9,,,,,,,,,1,2,1,1,,,,,,,2,2,2,2,,1,,,,
90,852,4/24/2020 11:11,R_1C22Db7eRrcwyEc,5,5,4,2,7,2,7,5,6,1,1,1,4,2,4,4,4,5,7,5,7,6,6,6,2,2,4,1,6,7,1,2,1,2,5,4,1,1,1,"3,8",,,1,,,,,1,,,,,"1,3",1,,1,,,,,,,,,,7,7,,,,,,,1,,1,28,18,"5,7,9",,,,,1,,1,,1,1,"6,7",,,,,,1,1,1,"1,2,4","1,2,4",2,1,1,,1,,
91,1002,4/24/2020 11:11,R_3Ibk3FeiCSM6xdT,5,5,4,8,7,7,7,2,1,1,1,1,4,1,3,4,4,7,7,7,7,6,6,1,1,1,4,1,4,4,1,1,1,1,5,3,1,1,1,"2,11",,1,,,,,,,,,1,,"7,10",,,,,,,1,,,1,,,7,7,,,,,,,1,,1,46,15,9,,,,,,,,,1,1,"2,5,6",,1,,,1,1,,2,"2,3,4","2,3,4",2,,1,1,1,,
92,726,4/24/2020 11:11,R_1fa79K6XbWh3G9L,5,4,4,6,6,5,6,4,2,5,1,1,5,2,4,4,4,6,6,6,6,6,5,6,5,5,4,1,4,6,2,3,2,3,5,5,1,1,1,"1,5",1,,,,1,,,,,,,,"1,7",1,,,,,,1,,,,,,"5,7","5,7",,,,,1,,1,,1,21,16,"2,5,7,9",,1,,,1,,1,,1,1,"1,3",1,,1,,,,,1,3,1,0,,,1,,,
93,620,4/24/2020 11:11,R_2fkswcykas6umVS,5,5,4,2,7,2,7,1,4,1,1,1,4,2,4,4,4,4,7,4,7,4,5,3,1,1,4,1,4,7,1,1,1,1,5,5,2,2,2,2,,1,,,,,,,,,,,"1,3,7,11",1,,1,,,,1,,,,1,,"1,7","1,7",1,,,,,,1,,1,32,19,"7,9",,,,,,,1,,1,1,"3,5,6,7",,,1,,1,1,1,1,"2,3","2,3",2,,1,1,,,
94,1621,4/24/2020 11:11,R_1qUtgGHSrGYSxz4,5,5,4,6,7,5,7,1,1,1,1,1,4,1,5,4,4,7,7,6,7,5,1,1,1,1,4,1,4,7,1,2,1,2,5,5,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,1,,0,52,,"1,2,3,6,8,9",1,1,1,,,1,,1,1,3,1,1,,,,,,,2,4,4,0,,,,1,,
95,1456,4/24/2020 11:11,R_2qkHqFF7uZLG7Io,5,5,4,4,4,4,4,1,1,2,1,1,4,2,3,4,4,5,5,7,4,5,2,4,3,3,4,1,6,7,2,2,2,2,5,5,1,2,2,4,,,,1,,,,,,,,,7,,,,,,,1,,,,,,7,7,,,,,,,1,,1,54,16,"2,9",,1,,,,,,,1,1,1,1,,,,,,,3,6,6,0,,,,,,1
96,1977,4/24/2020 11:11,R_264M4njDkYYBiIa,2,3,6,6,3,6,5,5,5,6,1,1,4,1,2,2,7,5,3,6,6,7,6,7,1,1,4,1,7,7,1,1,2,2,1,1,2,2,2,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,0,61,40,1,1,,,,,,,,,2,5,,,,,1,,,2,6,6,0,,,,,,1
97,816,4/24/2020 11:11,R_1q4ILeXliAQLnE4,5,5,4,3,5,1,3,1,1,1,1,1,4,1,2,4,4,7,7,1,3,1,2,2,1,1,4,1,7,7,1,1,1,1,5,5,1,2,1,2,,1,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,58,45,7,,,,,,,1,,,1,5,,,,,1,,,1,2,2,2,,1,,,,
98,940,4/24/2020 11:11,R_33pfQOFc4jMc600,5,5,4,4,7,4,7,2,6,5,4,4,4,2,3,3,4,6,7,6,7,6,7,6,6,6,4,1,7,7,2,3,3,4,2,2,2,2,2,1,1,,,,,,,,,,,,4,,,,1,,,,,,,,,7,7,,,,,,,1,,0,38,27,"2,3,9",,1,1,,,,,,1,1,1,1,,,,,,,1,4,4,0,,,,1,,
99,748,4/24/2020 11:11,R_cVj2nGu47B8zqTL,5,5,4,1,7,1,7,1,1,1,1,1,4,1,5,5,4,3,7,2,7,5,6,1,1,1,4,1,4,6,1,1,1,1,5,5,2,2,2,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,28,22,"1,3,6,8",1,,1,,,1,,1,,1,"2,3,6",,1,1,,,1,,3,"2,4","2,4",2,,1,,1,,
100,480,4/24/2020 11:11,R_yJzsrE8zXulBCG5,5,5,4,2,4,1,4,1,2,2,1,1,4,1,5,5,4,5,6,5,6,2,6,6,1,1,4,1,7,7,1,2,1,2,5,4,1,1,1,2,,1,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,64,30,"1,2,3",1,1,1,,,,,,,1,6,,,,,,1,,2,4,4,0,,,,1,,
101,5204,4/24/2020 11:11,R_1CCGUpnZE6NQim0,4,3,4,6,6,6,6,2,5,2,2,2,4,2,3,3,4,6,7,6,6,5,6,1,1,1,4,1,5,6,1,2,1,2,4,3,2,2,2,2,,1,,,,,,,,,,,6,,,,,,1,,,,,,,7,7,,,,,,,1,,1,25,17,2,,1,,,,,,,,2,"2,5,6",,1,,,1,1,,2,"2,4","2,4",2,,1,,1,,
102,973,4/24/2020 11:11,R_DHTkYyhiXN5BIoF,3,2,4,6,6,6,6,5,6,6,2,2,4,2,3,3,4,6,6,6,6,3,5,6,2,2,4,1,4,5,2,4,2,4,3,5,2,2,3,2,,1,,,,,,,,,,,2,,1,,,,,,,,,,,2,2,,1,,,,,,,1,50,49,"2,3,9",,1,1,,,,,,1,1,2,,1,,,,,,3,6,6,0,,,,,,1
103,1344,4/24/2020 11:11,R_2fYEfC4Npk5SPMB,5,4,4,6,6,3,6,5,1,2,2,2,4,2,2,3,5,7,7,3,7,6,6,3,5,5,4,1,6,7,2,3,2,3,4,3,2,2,2,1,1,,,,,,,,,,,,2,,1,,,,,,,,,,,4,4,,,,1,,,,,1,26,15,"1,8",1,,,,,,,1,,1,2,,1,,,,,,1,6,6,0,,,,,,1
104,78759,4/24/2020 11:12,R_2D0o4XuA76s2wbY,5,5,4,1,7,1,7,1,1,1,1,1,4,1,3,3,4,2,7,1,7,1,7,2,1,1,4,1,4,6,1,2,1,2,5,3,1,,1,1,1,,,,,,,,,,,,6,,,,,,1,,,,,,,7,7,,,,,,,1,,1,60,25,"1,4,6,8",1,,,1,,1,,1,,1,5,,,,,1,,,1,"1,2,3,4","1,2,3,4",2,1,1,1,1,,
105,1480,4/24/2020 11:12,R_1it8uuXvyoXX5gN,4,4,4,3,7,2,7,4,2,1,1,1,4,1,4,4,4,3,7,3,7,4,4,1,1,1,4,1,6,7,1,2,1,2,5,4,2,2,2,1,1,,,,,,,,,,,,"1,7,12",1,,,,,,1,,,,,1,7,7,,,,,,,1,,1,22,16,"3,4,5,8",,,1,1,1,,,1,,1,3,,,1,,,,,3,4,4,0,,,,1,,
106,2777,4/24/2020 11:12,R_BJx1bNqsaafQY81,5,5,4,2,7,1,7,4,3,2,1,2,4,2,5,4,4,3,7,2,7,5,5,3,3,3,4,1,5,6,1,2,1,2,5,4,2,2,2,"2,4",,1,,1,,,,,,,,,"3,6,7",,,1,,,1,1,,,,,,2,2,,1,,,,,,,1,36,14,"2,5,9",,1,,,1,,,,1,2,"3,6",,,1,,,1,,3,4,4,0,,,,1,,
107,1550,4/24/2020 11:12,R_1rCAzk6dp81STlS,5,4,4,8,7,7,7,3,5,5,1,1,4,1,5,5,4,7,7,7,7,6,7,6,1,1,4,1,6,6,1,1,1,1,4,5,1,1,1,1,1,,,,,,,,,,,,5,,,,,1,,,,,,,,7,7,,,,,,,1,,1,27,20,"1,2,3",1,1,1,,,,,,,1,6,,,,,,1,,1,2,2,2,,1,,,,
108,845,4/24/2020 11:12,R_1QuBoFT4DFKXK74,5,4,4,2,7,2,7,1,1,1,1,1,4,1,4,4,4,1,7,1,7,3,2,1,1,1,4,1,7,6,1,2,1,2,5,5,1,1,1,2,,1,,,,,,,,,,,1,1,,,,,,,,,,,,7,7,,,,,,,1,,1,38,16,"2,5,7,9",,1,,,1,,1,,1,1,"2,3,5,6,7",,1,1,,1,1,1,1,"2,4","2,4",2,,1,,1,,
109,502,4/24/2020 11:12,R_2tmVYVX9NTgfut7,5,4,4,5,6,3,6,3,3,4,5,5,4,2,4,4,5,6,6,4,5,3,5,4,5,5,4,2,4,7,2,3,2,3,3,4,,,1,2,,1,,,,,,,,,,,"1,3",1,,1,,,,,,,,,,7,7,,,,,,,1,,1,48,47,"2,3",,1,1,,,,,,,1,1,1,,,,,,,2,6,6,0,,,,,,1
110,667,4/24/2020 11:12,R_UxpUpsE1PgXDfah,5,5,4,1,7,1,7,1,3,1,1,1,4,1,5,4,4,3,7,3,6,5,7,2,1,2,4,1,6,7,1,2,2,2,5,5,1,2,1,2,,1,,,,,,,,,,,1,1,,,,,,,,,,,,7,7,,,,,,,1,,1,39,37,"1,2,3,4,5",1,1,1,1,1,,,,,1,2,,1,,,,,,2,2,2,2,,1,,,,
111,350,4/24/2020 11:12,R_29gCnRJ6vQeJ2J5,5,5,4,6,2,3,2,2,7,4,4,4,4,1,5,3,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,1,1,1,5,3,3,3,3,"3,7,8",,,1,,,,1,1,,,,,"1,4,7,11",1,,,1,,,1,,,,1,,7,7,,,,,,,1,,1,39,19,"2,5,7",,1,,,1,,1,,,1,4,,,,1,,,,2,"2,4","2,4",2,,1,,1,,
112,2121,4/24/2020 11:12,R_bBdKplWXzQjoxA5,5,4,4,8,7,5,7,3,2,2,2,2,4,1,4,4,4,7,7,3,7,6,6,6,6,6,4,1,4,5,2,2,2,2,4,2,1,1,1,3,,,1,,,,,,,,,,"1,3,7,11",1,,1,,,,1,,,,1,,7,7,,,,,,,1,,1,35,16,"2,3,9",,1,1,,,,,,1,1,"6,7",,,,,,1,1,1,"2,4","2,4",2,,1,,1,,
113,3119,4/24/2020 11:12,R_1qglZU5nziD9jKY,5,4,2,6,6,6,6,2,2,5,3,3,4,1,5,2,3,4,6,5,4,1,5,5,2,5,4,1,4,6,2,2,2,2,5,5,2,2,2,2,,1,,,,,,,,,,,2,,1,,,,,,,,,,,7,7,,,,,,,1,,1,59,27,"2,5,9",,1,,,1,,,,1,1,"4,6",,,,1,,1,,2,6,6,0,,,,,,1
114,1000,4/24/2020 11:12,R_2QsOpccpxemg9vc,5,5,4,2,6,2,6,1,2,2,1,1,4,1,5,4,4,4,6,3,6,4,4,3,1,1,4,2,4,7,1,1,1,1,5,4,2,2,,1,1,,,,,,,,,,,,"2,6,12",,1,,,,1,,,,,,1,7,7,,,,,,,1,,1,24,24,"3,9",,,1,,,,,,1,1,1,1,,,,,,,3,4,4,0,,,,1,,
115,2369,4/24/2020 11:12,R_D1TxnikEWj0qzYd,5,5,4,1,7,1,7,1,7,1,1,1,4,2,3,5,4,1,7,1,7,1,7,1,1,1,4,1,6,7,1,1,1,1,5,5,2,2,2,"3,8",,,1,,,,,1,,,,,"1,11",1,,,,,,,,,,1,,"1,7","1,7",1,,,,,,1,,1,34,24,"1,3",1,,1,,,,,,,1,"3,6",,,1,,,1,,2,"2,3,4","2,3,4",2,,1,1,1,,
116,576,4/24/2020 11:12,R_22FaNK25omgwhoN,5,5,4,5,7,3,7,2,1,2,2,1,4,2,4,3,4,5,6,3,6,4,2,2,5,5,4,1,6,7,1,2,2,4,4,3,2,2,1,"6,8",,,,,,1,,1,,,,,"1,3",1,,1,,,,,,,,,,7,7,,,,,,,1,,0,32,19,"2,9",,1,,,,,,,1,2,5,,,,,1,,,1,6,6,0,,,,,,1
117,2661,4/24/2020 11:12,R_pFWJW6VJTUwgL3X,4,5,4,2,7,5,6,2,7,3,1,1,1,1,4,3,5,6,6,6,7,1,7,6,1,1,4,1,7,7,1,1,2,3,5,4,2,1,2,8,,,,,,,,1,,,,,8,,,,,,,,1,,,,,7,7,,,,,,,1,,0,52,37,"1,4",1,,,1,,,,,,2,1,1,,,,,,,1,6,6,0,,,,,,1
118,662,4/24/2020 11:12,R_3Hp5jCAWCmyf2uw,4,5,4,6,7,3,7,2,2,2,1,1,4,2,4,4,5,5,7,4,7,5,3,1,6,6,4,1,4,7,2,2,2,3,5,3,2,2,2,"3,6,12",,,1,,,1,,,,,,1,"4,12",,,,1,,,,,,,,1,7,7,,,,,,,1,,1,20,,"1,2,3,8,9",1,1,1,,,,,1,1,2,"4,6",,,,1,,1,,2,4,4,0,,,,1,,
119,860,4/24/2020 11:12,R_3LjddYCqRRzeGe5,1,1,7,1,1,7,7,7,7,4,1,1,7,1,1,1,1,6,1,7,1,1,7,7,1,1,7,1,7,7,1,1,1,1,1,1,2,2,,2,,1,,,,,,,,,,,7,,,,,,,1,,,,,,8,7,,,,,,,,1,0,58,15,"1,7",1,,,,,,1,,,1,7,,,,,,,1,1,"3,6","3,6",0,,,1,,,1
120,615,4/24/2020 11:12,R_urFfCzBxbu4PAvT,5,5,4,2,7,2,7,2,2,1,5,5,4,1,5,5,4,5,7,5,7,6,6,2,6,6,4,1,5,6,1,2,2,3,5,5,2,2,1,"2,8,9",,1,,,,,,1,1,,,,"1,3",1,,1,,,,,,,,,,7,7,,,,,,,1,,1,32,16,"1,3,4,8",1,,1,1,,,,1,,1,6,,,,,,1,,2,2,2,2,,1,,,,
